emp_no,first_name,last_name,dept_no,dept_name
10001,Georgi,Facello,d005,Development
10018,Kazuhide,Peha,d005,Development
10072,Hironoby,Sidou,d005,Development
10150,Zhenbing,Perng,d005,Development
10283,Kauko,Birjandi,d005,Development
10302,Faiza,Baer,d007,Sales
10396,Sibyl,Rahier,d005,Development
10519,Yonghoan,Alencar,d005,Development
10538,Przemyslawa,Falby,d005,Development
10548,Ramalingam,Gunderson,d007,Sales
10628,Krisda,Krogh,d005,Development
10676,Valeri,Danley,d005,Development
10726,Zita,Minakawa,d005,Development
10791,Tadahiko,Sgarro,d005,Development
10969,Premal,Noriega,d005,Development
11009,Alper,Axelband,d007,Sales
11019,Leon,Huttel,d005,Development
11048,Jaques,Demke,d007,Sales
11207,Saeed,Gips,d005,Development
11291,Gino,Glowinski,d005,Development
11347,Anneli,Jonsson,d005,Development
11515,Ulf,Basawa,d007,Sales
11805,Rosine,Grandbois,d005,Development
11871,Nalini,Sommen,d005,Development
11894,Mitchel,Validov,d005,Development
11897,Cordelia,Setlzner,d007,Sales
12070,Ger,Shokrollahi,d005,Development
12205,Sushant,Rossi,d005,Development
12247,Subbu,Penttonen,d005,Development
12276,Yongmin,Lenart,d005,Development
12311,Susanne,Lubachevsky,d005,Development
12327,DAIDA,Bruckman,d005,Development
12411,Shao,Ibel,d007,Sales
12478,Yahiko,Hopewell,d007,Sales
12489,Arnould,Munck,d005,Development
12497,Stein,Penz,d007,Sales
12514,Tomofumi,Melter,d005,Development
12651,Pragnesh,Bael,d007,Sales
12664,Zhonghua,Parveen,d007,Sales
12678,Carrsten,Borovoy,d005,Development
12798,Lillian,Beeson,d007,Sales
12803,Gad,Boissier,d007,Sales
13075,Rosella,Morrin,d007,Sales
13103,Srinidhi,Ellozy,d005,Development
13146,Haldon,Erie,d007,Sales
13156,Akeel,Millington,d005,Development
13186,Kyoichi,Barbanera,d007,Sales
13192,Rosita,Flowers,d005,Development
13233,Alselm,Chvatal,d005,Development
13238,Ebru,Foote,d007,Sales
13243,Fay,Huxford,d007,Sales
13392,Fumitake,Beidas,d007,Sales
13405,Randy,Baba,d007,Sales
13670,Moti,Takanami,d005,Development
13697,Shuichi,Weedon,d005,Development
13786,Takushi,Berendt,d007,Sales
13801,Shih,Mayerwieser,d007,Sales
13883,Kwangyoen,Barreiro,d005,Development
13990,Deborah,Schapiro,d005,Development
14232,Masali,Bojadziev,d005,Development
14434,Elvis,Maginnis,d005,Development
14533,Kensei,Borovoy,d005,Development
14582,Kiyokazu,Morrin,d005,Development
14621,Souichi,Wixon,d007,Sales
14639,Arvind,Hempstead,d007,Sales
14640,Toshimori,Kornatzky,d005,Development
14914,Gretta,Benzaken,d005,Development
14966,Zhanqiu,Underwood,d007,Sales
14987,Tiina,Demeyer,d005,Development
15082,Guadalupe,Zirintsis,d005,Development
15089,Giri,Coney,d005,Development
15113,Zhiguo,Giaccio,d007,Sales
15114,Pantung,Honglei,d005,Development
15193,Neelam,Schach,d005,Development
15205,Cheong,Rodiger,d005,Development
15237,Reinhard,Sadowsky,d005,Development
15329,Fan,Openshaw,d005,Development
15330,Jaroslava,Chinal,d007,Sales
15365,Mikhail,Schiettecatte,d005,Development
15369,Premal,Penttonen,d007,Sales
15370,Chuanyi,Nilsson,d005,Development
15377,Shugo,Aumann,d005,Development
15382,Alassane,Siegrist,d007,Sales
15410,Wilmer,Kushner,d007,Sales
15452,Kazuhira,Weedman,d005,Development
15474,Gilbert,Plumb,d007,Sales
15539,Shigeichiro,Spieker,d007,Sales
15739,Poorav,Bahr,d005,Development
15819,Magdalena,Rajcani,d007,Sales
15971,Arumugam,Aloia,d005,Development
16052,Maria,Rodham,d005,Development
16086,Mohammad,Denos,d005,Development
